total_degree,count
0.0,27665
0.5,3
1.0,22
1.5,5
2.0,13
2.5,3
3.0,19
3.5,4
4.0,16
4.5,5
5.0,15
5.5,2
6.0,11
6.5,5
7.0,12
7.5,3
8.0,15
8.5,7
9.0,2
9.5,2
10.0,11
10.5,2
11.0,18
11.5,4
12.0,10
12.5,4
13.0,8
13.5,6
14.0,11
14.5,5
15.0,4
15.5,6
16.0,10
16.5,3
17.0,11
17.5,4
18.0,9
18.5,2
19.0,9
19.5,4
20.0,26
20.5,5
21.0,9
21.5,3
22.0,10
22.5,5
23.0,9
23.5,2
24.0,5
24.5,2
25.0,11
25.5,2
26.0,6
26.5,3
27.0,12
27.5,6
28.0,10
28.5,3
29.0,7
29.5,7
30.0,106
30.5,13
31.0,20
31.5,11
32.0,14
32.5,9
33.0,13
33.5,3
34.0,30
34.5,6
35.0,17
35.5,4
36.0,20
36.5,5
37.0,23
37.5,5
38.0,16
38.5,4
39.0,27
39.5,8
40.0,87
40.5,12
41.0,25
41.5,8
42.0,32
42.5,13
43.0,31
43.5,15
44.0,20
44.5,22
45.0,30
45.5,17
46.0,41
46.5,18
47.0,33
47.5,20
48.0,35
48.5,21
49.0,30
49.5,16
50.0,45
50.5,23
51.0,33
51.5,19
52.0,43
52.5,22
53.0,37
53.5,20
54.0,45
54.5,14
55.0,56
55.5,18
56.0,59
56.5,25
57.0,61
57.5,15
58.0,32
58.5,25
59.0,45
59.5,28
60.0,84
60.5,22
61.0,45
61.5,27
62.0,40
62.5,43
63.0,37
63.5,28
64.0,41
64.5,23
65.0,46
65.5,37
66.0,45
66.5,34
67.0,53
67.5,39
68.0,47
68.5,38
69.0,36
69.5,38
70.0,83
70.5,49
71.0,51
71.5,47
72.0,63
72.5,54
73.0,66
73.5,48
74.0,92
74.5,46
75.0,87
75.5,50
76.0,71
76.5,48
77.0,75
77.5,55
78.0,101
78.5,51
79.0,67
79.5,64
80.0,91
80.5,50
81.0,84
81.5,62
82.0,76
82.5,72
83.0,98
83.5,87
84.0,89
84.5,73
85.0,120
85.5,89
86.0,119
86.5,100
87.0,120
87.5,107
88.0,147
88.5,94
89.0,155
89.5,82
90.0,173
90.5,112
91.0,174
91.5,121
92.0,212
92.5,131
93.0,167
93.5,135
94.0,188
94.5,135
95.0,209
95.5,131
96.0,196
96.5,154
97.0,240
97.5,177
98.0,240
98.5,165
99.0,233
99.5,194
100.0,268
100.5,204
101.0,300
101.5,210
102.0,302
102.5,211
103.0,288
103.5,240
104.0,321
104.5,245
105.0,349
105.5,282
106.0,350
106.5,250
107.0,363
107.5,230
108.0,354
108.5,275
109.0,371
109.5,289
110.0,423
110.5,286
111.0,401
111.5,310
112.0,444
112.5,270
113.0,412
113.5,299
114.0,479
114.5,338
115.0,467
115.5,372
116.0,524
116.5,379
117.0,572
117.5,401
118.0,562
118.5,414
119.0,545
119.5,446
120.0,580
120.5,475
121.0,577
121.5,450
122.0,633
122.5,500
123.0,609
123.5,479
124.0,627
124.5,473
125.0,618
125.5,446
126.0,611
126.5,506
127.0,772
127.5,527
128.0,686
128.5,522
129.0,753
129.5,542
130.0,724
130.5,559
131.0,796
131.5,625
132.0,796
132.5,535
133.0,815
133.5,588
134.0,861
134.5,653
135.0,873
135.5,664
136.0,939
136.5,680
137.0,937
137.5,703
138.0,948
138.5,755
139.0,961
139.5,753
140.0,961
140.5,750
141.0,937
141.5,750
142.0,964
142.5,763
143.0,936
143.5,818
144.0,1012
144.5,753
145.0,1077
145.5,828
146.0,1159
146.5,872
147.0,1230
147.5,914
148.0,1273
148.5,951
149.0,1256
149.5,929
150.0,1275
150.5,1038
151.0,1424
151.5,1075
152.0,1396
152.5,1073
153.0,1414
153.5,1147
154.0,1240
154.5,1089
155.0,1393
155.5,1190
156.0,1313
156.5,1162
157.0,1295
157.5,1126
158.0,1302
158.5,1204
159.0,1321
159.5,1198
160.0,2189
160.5,1278
161.0,1601
161.5,1399
162.0,1629
162.5,1395
163.0,1758
163.5,1454
164.0,1797
