total_degree,student_count
0.0,36954
0.5,6
1.0,13
1.5,4
2.0,19
2.5,4
3.0,16
3.5,1
4.0,16
4.5,5
5.0,16
5.5,4
6.0,15
6.5,3
7.0,17
7.5,2
8.0,14
8.5,5
9.0,13
9.5,4
10.0,14
10.5,3
11.0,12
11.5,3
12.0,12
12.5,6
13.0,17
13.5,6
14.0,20
14.5,4
15.0,15
15.5,5
16.0,11
16.5,4
17.0,11
17.5,3
18.0,10
18.5,3
19.0,6
19.5,3
20.0,8
20.5,3
21.0,10
21.5,5
22.0,3
22.5,1
23.0,11
23.5,5
24.0,10
24.5,4
25.0,10
25.5,5
26.0,4
26.5,2
27.0,11
27.5,2
28.0,13
28.5,3
29.0,10
29.5,3
30.0,189
30.5,8
31.0,21
31.5,9
32.0,17
32.5,4
33.0,16
33.5,9
34.0,22
34.5,8
35.0,10
35.5,3
36.0,16
36.5,4
37.0,21
37.5,6
38.0,10
38.5,11
39.0,21
39.5,6
40.0,134
40.5,19
41.0,37
41.5,9
42.0,36
42.5,15
43.0,24
43.5,18
44.0,50
44.5,24
45.0,36
45.5,26
46.0,33
46.5,25
47.0,59
47.5,24
48.0,40
48.5,20
49.0,38
49.5,17
50.0,48
50.5,27
51.0,54
51.5,31
52.0,62
52.5,34
53.0,56
53.5,25
54.0,66
54.5,31
55.0,54
55.5,31
56.0,42
56.5,28
57.0,58
57.5,29
58.0,68
58.5,31
59.0,47
59.5,20
60.0,139
60.5,38
61.0,69
61.5,42
62.0,48
62.5,26
63.0,50
63.5,27
64.0,71
64.5,39
65.0,69
65.5,39
66.0,75
66.5,34
67.0,62
67.5,31
68.0,62
68.5,54
69.0,80
69.5,49
70.0,157
70.5,52
71.0,91
71.5,58
72.0,99
72.5,47
73.0,94
73.5,75
74.0,124
74.5,59
75.0,95
75.5,69
76.0,142
76.5,82
77.0,117
77.5,85
78.0,117
78.5,86
79.0,111
79.5,77
80.0,96
80.5,72
81.0,130
81.5,94
82.0,147
82.5,89
83.0,130
83.5,99
84.0,144
84.5,88
85.0,166
85.5,93
86.0,183
86.5,112
87.0,155
87.5,152
88.0,200
88.5,163
89.0,198
89.5,168
90.0,221
90.5,187
91.0,246
91.5,200
92.0,246
92.5,171
93.0,302
93.5,207
94.0,263
94.5,198
95.0,306
95.5,216
96.0,299
96.5,226
97.0,308
97.5,222
98.0,310
98.5,211
99.0,321
99.5,266
100.0,369
100.5,267
101.0,355
101.5,250
102.0,377
102.5,276
103.0,367
103.5,260
104.0,378
104.5,296
105.0,416
105.5,303
106.0,416
106.5,314
107.0,492
107.5,363
108.0,535
108.5,391
109.0,578
109.5,448
110.0,617
110.5,493
111.0,703
111.5,515
112.0,684
112.5,559
113.0,716
113.5,604
114.0,750
114.5,562
115.0,726
115.5,570
116.0,724
116.5,568
117.0,754
117.5,514
118.0,689
118.5,527
119.0,695
119.5,548
120.0,668
120.5,554
121.0,750
121.5,533
122.0,741
122.5,557
123.0,780
123.5,607
124.0,865
124.5,649
125.0,1026
125.5,775
126.0,1053
126.5,817
127.0,1222
127.5,943
128.0,1293
128.5,977
129.0,1380
129.5,1017
130.0,1497
130.5,1111
131.0,1474
131.5,1089
132.0,1465
132.5,1164
133.0,1425
133.5,1109
134.0,1323
134.5,1019
135.0,1295
135.5,1004
136.0,1141
136.5,971
137.0,1194
137.5,901
138.0,1230
138.5,962
139.0,1190
139.5,957
140.0,1275
140.5,932
141.0,1461
141.5,1010
142.0,1681
142.5,1129
143.0,1989
143.5,1228
144.0,2288
144.5,1462
145.0,2618
145.5,1648
146.0,2324
146.5,1547
147.0,2665
147.5,1756
148.0,2380
148.5,1721
149.0,2170
149.5,1847
150.0,2236
150.5,1788
151.0,2311
151.5,1797
152.0,2056
152.5,1728
153.0,2055
153.5,1702
154.0,2013
154.5,1699
155.0,1947
155.5,1690
156.0,1947
156.5,1645
157.0,1854
157.5,1669
158.0,1846
158.5,1562
159.0,1729
159.5,1489
160.0,7035
160.5,1953
161.0,2804
161.5,2068
162.0,2893
162.5,2110
163.0,2847
163.5,2170
164.0,2964
164.5,2194
165.0,2979
165.5,2318
166.0,2966
166.5,2348
167.0,3077
167.5,2495
168.0,3268
168.5,2646
169.0,3232
169.5,2587
170.0,3339
170.5,2726
171.0,3292
171.5,2803
172.0,3392
172.5,2856
173.0,3519
173.5,2870
174.0,3509
174.5,3003
175.0,3480
175.5,2918
176.0,3421
176.5,3022
177.0,3659
177.5,3073
178.0,3569
178.5,3151
179.0,3598
179.5,3175
180.0,3564
180.5,3003
181.0,3451
181.5,3155
182.0,3525
182.5,3055
183.0,3508
183.5,2997
184.0,3591
